date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:47:30	50/50	---M--	200	added ('OK')	text/plain	etag:%2232-51014d422e400%22	http://www.lithoguru.com/robots.txt		(from )
01:47:31	7047/7047	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:29%20GMT	http://www.lithoguru.com/	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/index.html	(from )
01:47:31	2358/2358	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Mar%202015%2019:42:29%20GMT	http://www.lithoguru.com/css/frontpage.css	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/css/frontpage.css	(from http://www.lithoguru.com/)
01:47:31	980/980	---M--	200	added ('OK')	text/css	etag:%223d4-514811fd5df40%22	http://www.lithoguru.com/css/navi.css	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/css/navi.css	(from http://www.lithoguru.com/)
01:47:32	1334/1334	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22536-4975a35110000%22	http://www.lithoguru.com/lithoguru.ico	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/lithoguru.ico	(from http://www.lithoguru.com/)
01:47:32	1053/1053	---M--	200	added ('OK')	image/gif	etag:%2241d-40b3e5e036000%22	http://www.lithoguru.com/images/h-gentleman.gif	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/images/h-gentleman.gif	(from http://www.lithoguru.com/)
01:47:32	6210/6210	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:31%20GMT	http://www.lithoguru.com/scientist/	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/scientist/index.html	(from http://www.lithoguru.com/)
01:47:32	4396/4396	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:31%20GMT	http://www.lithoguru.com/gentleman/intellect.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/intellect.html	(from http://www.lithoguru.com/)
01:47:33	4822/4822	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:31%20GMT	http://www.lithoguru.com/gentleman/	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/index.html	(from http://www.lithoguru.com/)
01:47:33	7426/7426	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:31%20GMT	http://www.lithoguru.com/gentleman/writing.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/writing.html	(from http://www.lithoguru.com/)
01:47:33	38737/38737	---M--	200	added ('OK')	image/gif	etag:%229751-5108eb0abc1c0%22	http://www.lithoguru.com/images/gentleman_and_scientist.gif	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/images/gentleman_and_scientist.gif	(from http://www.lithoguru.com/)
01:47:33	5236/5236	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:31%20GMT	http://www.lithoguru.com/gentleman/data.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/data.html	(from http://www.lithoguru.com/)
01:47:33	4836/4836	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:32%20GMT	http://www.lithoguru.com/gentleman/history.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/history.html	(from http://www.lithoguru.com/)
01:47:34	4999/4999	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:32%20GMT	http://www.lithoguru.com/gentleman/phil.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/phil.html	(from http://www.lithoguru.com/)
01:47:34	17923/17923	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:32%20GMT	http://www.lithoguru.com/gentleman/quotes.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/quotes.html	(from http://www.lithoguru.com/)
01:47:34	9493/9493	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:32%20GMT	http://www.lithoguru.com/scientist/science-writing.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/scientist/science-writing.html	(from http://www.lithoguru.com/)
01:47:34	6968/6968	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:33%20GMT	http://www.lithoguru.com/scientist/onlinecourses.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/scientist/onlinecourses.html	(from http://www.lithoguru.com/)
01:47:35	4857/4857	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:33%20GMT	http://www.lithoguru.com/gentleman/personal.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/personal.html	(from http://www.lithoguru.com/)
01:47:35	9311/9311	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:33%20GMT	http://www.lithoguru.com/gentleman/family.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/gentleman/family.html	(from http://www.lithoguru.com/)
01:47:35	1124/1124	---M--	200	added ('OK')	image/gif	etag:%22464-40b3e5e036000%22	http://www.lithoguru.com/images/h-scientist.gif	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/images/h-scientist.gif	(from http://www.lithoguru.com/)
01:47:35	7007/7007	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:33%20GMT	http://www.lithoguru.com/scientist/litho.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/scientist/litho.html	(from http://www.lithoguru.com/)
01:47:36	37053/37053	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:34%20GMT	http://www.lithoguru.com/scientist/lithobasics.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/scientist/lithobasics.html	(from http://www.lithoguru.com/)
01:47:36	6941/6941	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:34%20GMT	http://www.lithoguru.com/scientist/glossary/index.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/scientist/glossary/index.html	(from http://www.lithoguru.com/)
01:47:36	7839/7839	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:34%20GMT	http://www.lithoguru.com/scientist/lithohistory.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/scientist/lithohistory.html	(from http://www.lithoguru.com/)
01:47:36	5572/5572	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2017:47:34%20GMT	http://www.lithoguru.com/scientist/essays.html	C:/My%20Websites/www.lithoguru.com/www.lithoguru.com/scientist/essays.html	(from http://www.lithoguru.com/)
